Geography Type,Geography,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Year,Estimate (%),95% CI (%),Sample Size,Vaccine,Suppression Flag
State,Illinois,Difficulty knowing where to get vaccinated,No,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,69.4,66.8 - 72.1,2246,COVID-19,0
State,Illinois,Hard to get to vaccination site,Yes,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,72.9,59.5 - 86.2,83,COVID-19,0
State,Illinois,Age,18-49 years,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,69,65.4 - 72.5,1084,COVID-19,0
State,Illinois,Difficulty getting an appointment online,Yes,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,74.1,60.3 - 87.9,83,COVID-19,0
State,Illinois,Vaccination sites not open at convenient times,Yes,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,79.4,67.8 - 90.9,93,COVID-19,0
State,Illinois,Age,65+ years,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,78.5,74.1 - 82.9,682,COVID-19,0
State,Illinois,Metropolitan statistical area,Urban,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,81,77.7 - 84.2,1032,COVID-19,0
State,Illinois,Age by race/ethnicity,"65+ years, White, non-Hispanic",Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,75.6,70.1 - 81.1,497,COVID-19,0
State,Illinois,Age by race/ethnicity,"50-64 years, White, non-Hispanic",Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,60.2,53.5 - 67.0,356,COVID-19,0
State,Illinois,Age by race/ethnicity,"50-64 years, Hispanic",Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,75.7,59.1 - 92.4,82,COVID-19,0
State,Illinois,Reaction to previous dose of COVID-19 vaccine,Yes,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,69.2,52.2 - 86.3,54,COVID-19,0
State,Illinois,"Difficulty with cost (including payments, transportation, time off)",Yes,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,80.2,71.6 - 88.7,118,COVID-19,0
State,Illinois,Not sure whether eligible,No,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,69.6,67.0 - 72.3,2252,COVID-19,0
State,Illinois,Age by race/ethnicity,"65+ years, Hispanic",Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,74.9,56.3 - 93.5,41,COVID-19,0
State,Illinois,Age by race/ethnicity,"18-49 years, Hispanic",Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,84.9,79.8 - 90.0,247,COVID-19,0
State,Illinois,Received an RSV vaccination (ever),No,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,69.7,64.8 - 74.6,641,COVID-19,0
State,Illinois,Reaction to previous dose of COVID-19 vaccine,No,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,70.4,67.8 - 73.0,2241,COVID-19,0
State,Illinois,"Difficulty with cost (including payments, transportation, time off)",No,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,69.3,66.7 - 72.0,2213,COVID-19,0
State,Illinois,Received an RSV vaccination (ever),Yes,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,91.5,87.0 - 96.1,255,COVID-19,0
State,Illinois,"Received a flu vaccination since July 1, 2024",No,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,63.2,60.1 - 66.4,1630,COVID-19,0
State,Illinois,"Received a flu vaccination since July 1, 2024",Yes,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,88.4,85.4 - 91.5,714,COVID-19,0
State,Illinois,Vaccination uptake and intention,Probably will get the 2024-2025 COVID-19 vaccine or are unsure,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,87,83.6 - 90.3,622,COVID-19,0
State,Illinois,Vaccination uptake and intention,Probably or definitely will not get the 2024-2025 COVID-19 vaccine,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,30.3,26.0 - 34.7,714,COVID-19,0
State,Illinois,Vaccination uptake and intention,Definitely will get the 2024-2025 COVID-19 vaccine,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,96.9,94.6 - 99.3,559,COVID-19,0
State,Illinois,Vaccination uptake and intention,Received a 2024-2025 COVID-19 dose,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,98.5,97.1 - 99.9,446,COVID-19,0
State,Illinois,Social Vulnerability Index (SVI) of county of residence,High SVI,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,78,74.8 - 81.2,1288,COVID-19,0
State,Illinois,Born in the U.S.,Not born in the U.S.,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,77.4,71.7 - 83.1,389,COVID-19,0
State,Illinois,Born in the U.S.,Born in the U.S.,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,69.5,66.6 - 72.4,1848,COVID-19,0
State,Illinois,Language of interview,English,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,68.8,66.2 - 71.5,2158,COVID-19,0
State,Illinois,Insurance status,Not insured,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,71,62.3 - 79.7,183,COVID-19,0
State,Illinois,Language of interview,Spanish,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,82.7,75.6 - 89.8,164,COVID-19,0
State,Illinois,Poverty status,"Above poverty, income >=$75k",Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,69.4,65.4 - 73.5,977,COVID-19,0
State,Illinois,Language of interview,Other,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,NA,NA,NA,COVID-19,1
State,Illinois,Poverty status,"Above poverty, income <$75k",Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,71.4,66.6 - 76.2,623,COVID-19,0
State,Illinois,Insurance status,Insured,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,70.1,67.4 - 72.8,2089,COVID-19,0
State,Illinois,Sex,Male,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,68,64.3 - 71.7,1138,COVID-19,0
State,Illinois,Race/Ethnicity (7 level),"White, non-Hispanic",Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,65.6,62.2 - 69.0,1407,COVID-19,0
State,Illinois,Poverty status,Unknown income,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,67.4,62.0 - 72.7,515,COVID-19,0
State,Illinois,Race/Ethnicity (7 level),"American Indian/Alaska Native, non-Hispanic",Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,NA,NA,NA,COVID-19,1
State,Illinois,Poverty status,Below poverty,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,73.7,66.3 - 81.2,231,COVID-19,0
State,Illinois,Race/Ethnicity (7 level),Hispanic,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,82.6,77.5 - 87.8,370,COVID-19,0
State,Illinois,Race/Ethnicity (7 level),"Native Hawaiian/Pacific Islander, non-Hispanic",Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,NA,NA,NA,COVID-19,1
State,Illinois,Sexual orientation,Gay/Lesbian/Bisexual/Other,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,83.7,77.2 - 90.2,214,COVID-19,0
State,Illinois,Disability status (any),Yes,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,75.8,68.3 - 83.3,213,COVID-19,0
State,Illinois,Race/Ethnicity (7 level),"Black, non-Hispanic",Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,80,74.1 - 86.0,282,COVID-19,0
State,Illinois,Disability status (any),No,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,69.4,66.7 - 72.1,2120,COVID-19,0
State,Illinois,Race/Ethnicity (7 level),"Other or multiple races, non-Hispanic",Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,61.7,47.7 - 75.6,74,COVID-19,0
State,Illinois,Race/Ethnicity (7 level),"Asian, non-Hispanic",Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,73,61.6 - 84.5,131,COVID-19,0
State,Illinois,Sexual orientation,Heterosexual/Straight,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,68.2,65.3 - 71.0,1972,COVID-19,0
State,Illinois,Sex,Female,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,71.7,68.2 - 75.1,1208,COVID-19,0
State,Illinois,Health condition associated with higher risk for viral respiratory diseases,No,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,66,63.0 - 69.1,1688,COVID-19,0
State,Illinois,Health condition associated with higher risk for viral respiratory diseases,Yes,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,80.8,76.4 - 85.3,634,COVID-19,0
State,Illinois,Sexual orientation,Don't know/refused,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,74.6,64.9 - 84.3,134,COVID-19,0
State,Illinois,Self-perceived equity in seeking healthcare compared to other races/ethnicities,Better than other races or ethnicities,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,88.1,84.6 - 91.5,607,COVID-19,0
State,Illinois,Self-perceived equity in seeking healthcare compared to other races/ethnicities,Don't know/refused,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,68.1,62.1 - 74.1,438,COVID-19,0
State,Illinois,Self-perceived equity in seeking healthcare compared to other races/ethnicities,Worse than other races or ethnicities,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,73.3,61.3 - 85.4,78,COVID-19,0
State,Illinois,Pregnancy status (females age 18-49 years),Pregnant,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,NA,NA,NA,COVID-19,1
State,Illinois,Pregnancy status (females age 18-49 years),Pregnant,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,NA,NA,NA,COVID-19,1
State,Illinois,Pregnancy status (females age 18-49 years),Not pregnant,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,73.2,67.9 - 78.4,471,COVID-19,0
State,Illinois,Healthcare provider recommended I get a COVID-19 vaccine,Yes,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,82.1,77.5 - 86.6,581,COVID-19,0
State,Illinois,Self-perceived equity in seeking healthcare compared to other races/ethnicities,Same as other races or ethnicities,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,63.2,59.6 - 66.8,1178,COVID-19,0
State,Illinois,Received any non-COVID-19 vaccine(s) in past two years,No,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,52.1,47.9 - 56.2,881,COVID-19,0
State,Illinois,Received any non-COVID-19 vaccine(s) in past two years,Yes,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,84,81.4 - 86.7,1457,COVID-19,0
State,Illinois,Concern about getting COVID-19 disease,A little or not at all concerned,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,53.7,50.1 - 57.3,1249,COVID-19,0
State,Illinois,Confidence in COVID-19 vaccine safety,Somewhat or not at all safe for me,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,35.9,31.8 - 40.1,796,COVID-19,0
State,Illinois,Concern about getting COVID-19 disease,Very or moderately concerned,Confidence that COVID-19 vaccine is important,Confidence that COVID-19 vaccine is important to protect me (somewhat or very important),September 29 - October 26,2024,92.6,90.3 - 94.9,1091,COVID-19,0
