Geography Type,Geography,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Year,Estimate (%),95% CI (%),Sample Size,Vaccine,Suppression Flag
State,U.S. Virgin Islands,Age by race/ethnicity,"65+ years, Other or multiple races, non-Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,NA,NA,NA,COVID-19,1
State,U.S. Virgin Islands,Age by race/ethnicity,"18-49 years, Other or multiple races, non-Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,NA,NA,NA,COVID-19,1
State,U.S. Virgin Islands,Age by race/ethnicity,"50-64 years, Other or multiple races, non-Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,NA,NA,NA,COVID-19,1
State,U.S. Virgin Islands,Vaccination uptake and intention,Definitely will get the 2024-2025 COVID-19 vaccine,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,57.3,26.3 - 88.3,32,COVID-19,0
State,U.S. Virgin Islands,Vaccination uptake and intention,Probably will get the 2024-2025 COVID-19 vaccine or are unsure,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,60.6,47.9 - 73.4,115,COVID-19,0
State,U.S. Virgin Islands,Vaccination uptake and intention,Probably or definitely will not get the 2024-2025 COVID-19 vaccine,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,22.3,13.2 - 31.3,138,COVID-19,0
State,U.S. Virgin Islands,Age by race/ethnicity,"65+ years, Black, non-Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,52.9,34.3 - 71.5,58,COVID-19,0
State,U.S. Virgin Islands,Age by race/ethnicity,"18-49 years, Black, non-Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,34.4,19.5 - 49.3,68,COVID-19,0
State,U.S. Virgin Islands,Age by race/ethnicity,"50-64 years, Black, non-Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,63.2,46.0 - 80.4,63,COVID-19,0
State,U.S. Virgin Islands,Age by race/ethnicity,"50-64 years, White, non-Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,NA,NA,NA,COVID-19,1
State,U.S. Virgin Islands,Age by race/ethnicity,"18-49 years, White, non-Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,NA,NA,NA,COVID-19,1
State,U.S. Virgin Islands,Age by race/ethnicity,"65+ years, White, non-Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,NA,NA,NA,COVID-19,1
State,U.S. Virgin Islands,Age by race/ethnicity,"65+ years, Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,NA,NA,NA,COVID-19,1
State,U.S. Virgin Islands,Age by race/ethnicity,"18-49 years, Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,NA,NA,NA,COVID-19,1
State,U.S. Virgin Islands,Age by race/ethnicity,"50-64 years, Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,NA,NA,NA,COVID-19,1
State,U.S. Virgin Islands,All adults 18+ years,All adults 18+ years,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,42.8,35.0 - 50.6,316,COVID-19,0
State,U.S. Virgin Islands,Age,50-64 years,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,59.6,46.6 - 72.7,102,COVID-19,0
State,U.S. Virgin Islands,Age,18-49 years,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,32.8,21.2 - 44.4,107,COVID-19,0
State,U.S. Virgin Islands,Age,65+ years,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,46.3,31.8 - 60.8,107,COVID-19,0
State,U.S. Virgin Islands,Metropolitan statistical area,Rural,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,42.8,35.0 - 50.6,316,COVID-19,0
State,U.S. Virgin Islands,Born in the U.S.,Not born in the U.S.,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,39,26.9 - 51.1,118,COVID-19,0
State,U.S. Virgin Islands,Born in the U.S.,Born in the U.S.,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,47,36.3 - 57.8,180,COVID-19,0
State,U.S. Virgin Islands,Insurance status,Insured,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,47.9,38.7 - 57.0,250,COVID-19,0
State,U.S. Virgin Islands,Language of interview,English,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,44.5,36.4 - 52.5,303,COVID-19,0
State,U.S. Virgin Islands,Insurance status,Not insured,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,32,16.0 - 47.9,54,COVID-19,0
State,U.S. Virgin Islands,Race/Ethnicity (7 level),"American Indian/Alaska Native, non-Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,NA,NA,NA,COVID-19,1
State,U.S. Virgin Islands,Race/Ethnicity (7 level),"Native Hawaiian/Pacific Islander, non-Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,NA,NA,NA,COVID-19,1
State,U.S. Virgin Islands,Poverty status,Unknown income,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,46.3,30.1 - 62.5,75,COVID-19,0
State,U.S. Virgin Islands,Race/Ethnicity (7 level),Hispanic,Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,39.8,19.5 - 60.1,38,COVID-19,0
State,U.S. Virgin Islands,Race/Ethnicity (7 level),"Black, non-Hispanic",Concerned about COVID-19 disease,Concerned about COVID-19 disease,December 29 - January 25,2025,45.7,35.5 - 55.9,189,COVID-19,0
